0,ling4
發霉,faat3 mui4
發願,faat3 jyun6
發飆,faat3 biu1
發騷,faat3 sou1
登高,dang1 gou1
白化,baak6 faa3
白吃,baak6 hek3
白搭,baak6 daap3
白教,baak6 gaau3
白灼,baak6 coek3
白熱化,baak6 jit6 faa3
白給,baak6 kap1
白說,baak6 syut3
白費,baak6 fai3
百出,baak3 ceot1
百勝,baak3 sing3
百度,baak3 dou6
皈依,gwai1 ji1
皆是,gaai1 si6
皴裂,ceon1 lit6
皸裂,gwan1 lit6
皺眉,zau3 mei4
皺眉頭,zau3 mei4 tau4
皺起眉頭,zau3 hei2 mei4 tau4
㿸,maan5
盈,jing4
盈眶,jing4 hong1
盈眶,jing4 kwaang1
盈虧,jing4 kwai1
盛,sing4
盛傳,sing6 cyun4
盛怒,sing6 nou6
盛產,sing6 caan2
盛行,sing6 hang4
盛開,sing6 hoi1
盛飯,sing4 faan6
盜伐,dou6 fat6
盜刷,dou6 caat3
盜墓,dou6 mou6
盜攝,dou6 sip3
盜汗,dou6 hon6
盜獵,dou6 lip6
盜用,dou6 jung6
盜賣,dou6 maai6
盜馬,dou6 maa5
盡,zeon6
盡享,zeon6 hoeng2
盡人事,zeon6 jan4 si6
盡人事,zeon6 jan4 si2
監人賴厚,gaam1 jan4 laai5 hau6
盡全力,zeon6 cyun4 lik6
盡力,zeon6 lik6
監國,gaam1 gwok3
盡孝,zeon6 haau3
監守,gaam1 sau2
監察,gaam1 caat3
盡心,zeon6 sam1
盡忠,zeon6 zung1
盡是,zeon6 si6
盡歡,zeon6 fun1
監測,gaam1 cak1
監測,gaam1 caak1
監票,gaam1 piu3
監視,gaam1 si6
監管,gaam1 gun2
監粗嚟,gaam3 cou1 lai4
監粗嚟,gaam3 cou1 lei4
盡職,zeon6 zik1
盡興,zeon6 hing3
監誓,gaam1 sai6
監護,gaam1 wu6
盡責,zeon6 zaak3
盡量,zeon6 loeng6
盤剝,pun4 mok1
盤問,pun4 man6
盤存,pun4 cyun4
盤山,pun4 saan1
盤底,pun4 dai2
盤旋,pun4 syun4
盤查,pun4 caa4
盤算,pun4 syun3
盤紆,pun4 jyu1
盤繞,pun4 jiu2
盤繞,pun4 jiu5
盤腿,pun4 teoi2
盤貨,pun4 fo3
盤踞,pun4 geoi3
盤點,pun4 dim2
盥洗,gun3 sai2
盥漱,gun3 sau3
盪,dong6
目擊,muk6 gik1
目測,muk6 cak1
目測,muk6 caak1
目眩,muk6 jyun6
目睹,muk6 dou2
目見,muk6 gin3
目送,muk6 sung3
盯,ding1
盯,deng1
盯梢,ding1 saau1
盯視,ding1 si6
直,zik6
盲動,maang4 dung6
直升,zik6 sing1
直奔,zik6 ban1
直屬,zik6 suk6
盲從,maang4 cung4
盲打,maang4 daa2
直抵,zik6 dai2
直排,zik6 paai4
直搗,zik6 dou2
直播,zik6 bo3
直擊,zik6 gik1
直斥,zik6 cik1
直視,zik6 si6
直立,zik6 lap6
直立,zik6 laap6
直筆,zik6 bat1
直航,zik6 hong4
直行,zik6 haang4
直言,zik6 jin4
直話直說,zik6 waa6 zik6 syut3
直說,zik6 syut3
直諫,zik6 gaan3
直踩,zik6 caai2
直轄,zik6 hat6
直通,zik6 tung1
直達,zik6 daat6
直隸,zik6 dai6
直須,zik6 seoi1
直飛,zik6 fei1
盺,jan1
盼,paan3
盽,fung1
眇,miu5
眈,daam1
看,hon3
𥄎,cik1
𥄫,gap6
看上,hon3 soeng5
看上去,hon3 soeng5 heoi3
看不出,hon3 bat1 ceot1
看不得,hon3 bat1 dak1
看不慣,hon3 bat1 gwaan3
看不懂,hon3 bat1 dung2
看不見,hon3 bat1 gin3
看不起,hon3 bat1 hei2
看不過去,hon3 bat1 gwo3 heoi3
看中,hon3 zung3
相乘,soeng1 sing4
省事,saang2 si6
相交,soeng1 gaau1
相仿,soeng1 fong2
相似,soeng1 ci5
看似,hon3 ci5
看作,hon3 zok3
相依,soeng1 ji1
看來,hon3 loi4
相信,soeng1 seon3
看做,hon3 zou6
相傳,soeng1 cyun4
相像,soeng1 zoeng6
看出,hon3 ceot1
相切,soeng1 cit3
看到,hon3 dou3
看到,hon3 dou2
相剋,soeng1 hak1
省力,saang2 lik6
相加,soeng1 gaa1
相助,soeng1 zo6
省勁,saang2 ging6
省卻,saang2 koek3
相去,soeng1 heoi3
相合,soeng1 hap6
相向,soeng1 hoeng3
相命,soeng3 ming6
相和,soeng1 wo6
相問,soeng1 man6
眈天望地,daam1 tin1 mong6 dei6
看好,hon3 hou2
相安,soeng1 on1
看家,hon1 gaa1
省察,sing2 caat3
相對,soeng1 deoi3
相左,soeng1 zo2
相差,soeng1 caa1
相幫,soeng1 bong1
相干,soeng1 gon1
相待,soeng1 daai1
看待,hon1 doi6
看得懂,hon3 dak1 dung2
看得見,hon3 dak1 gin3
看得起,hon3 dak1 hei2
省心,saang2 sam1
盼念,paan3 nim6
相思,soeng1 si1
省悟,sing2 ng6
相愛,soeng1 oi3
看懂,hon3 dung2
相戀,soeng1 lyun2
相成,soeng1 sing4
看成,hon3 sing4
看戲,hon3 hei3
看扁,hon3 bin2
相打,soeng1 daa2
相承,soeng1 sing4
相投,soeng1 tau4
看押,hon1 aat3
相持,soeng1 ci4
相接,soeng1 zip3
相撞,soeng1 zong6
相擁,soeng1 jung2
相映,soeng1 jing2
看書,hon3 syu1
相會,soeng1 wui6
相望,soeng1 mong6
盼望,paan3 mong6
看望,hon3 mong6
看樣子,hon3 joeng6 zi2
相比,soeng1 bei2
眉毛鬍子一把抓,mei4 mou4 wu4 zi2 jat1 baa2 zaa1
省油,saang2 jau4
看淡,hon3 daam6
看淡,hon3 taam5
看清,hon3 cing1
相減,soeng1 gaam2
相為,soeng1 wai4
看熱鬧,hon3 jit6 naau6
相爭,soeng1 zang1
看球,hon3 kau4
省略,saang2 loek6
相當,soeng1 dong1
相當於,soeng1 dong1 jyu1
看病,hon3 beng6
相看,soeng1 hon3
看看,hon3 hon3
相睇,soeng1 tai2
看破,hon3 po3
相視,soeng1 si6
省視,sing2 si6
相稱,soeng1 cing1
看穿,hon3 cyun1
看笑話,hon3 siu3 waa2
相符,soeng1 fu4
相等,soeng1 dang2
看管,hon1 gun2
相約,soeng1 joek3
相罵,soeng1 maa6
相聚,soeng1 zeoi6
看脈,hon3 mak6
相若,soeng1 joek6
相處,soeng1 cyu2
相處,soeng1 cyu5
相襯,soeng1 can3
相見,soeng1 gin3
看見,hon3 gin3
相親,soeng3 can1
相親,soeng1 can1
省親,sing2 can1
相認,soeng1 jing6
相談,soeng1 taam4
相讓,soeng1 joeng6
看走眼,hon3 zau2 ngaan5
看起來,hon3 hei2 loi4
相距,soeng1 keoi5
相較,soeng1 gaau3
看輕,hon3 hing1
相近,soeng1 gan6
相送,soeng1 sung3
相通,soeng1 tung1
相逢,soeng1 fung4
相連,soeng1 lin4
看透,hon3 tau3
相遇,soeng1 jyu6
相違,soeng1 wai4
相鄰,soeng1 leon4
相配,soeng1 pui3
相酬,soeng1 cau4
看醫生,hon3 ji1 sang1
看重,hon3 zung6
省錢,saang2 cin4
省錢,saang2 cin2
看錯,hon3 co3
看門,hon1 mun4
相間,soeng1 gaan1
看開,hon3 hoi1
相關,soeng1 gwaan1
相除,soeng1 ceoi4
相隔,soeng1 gaak3
相隨,soeng1 ceoi4
省電,saang2 din6
相類,soeng1 leoi6
看顧,hon3 gu3
相馬,soeng3 maa5
看齊,hon3 cai4
眒,san1
眔,daap6
眕,can2
眕,zan2
眝,cyu5
眠,min4
眨,zaam2
眨,zaap3
眨巴,zaam2 baa1
真是,zan1 si6
眩暈,jyun6 wan4
眨眼,zaam2 ngaan5
眨眼睛,zaam2 ngaan5 zing1
真空包裝,zan1 hung1 baau1 zong1
䀫,gaap3
眭,seoi1
眯,mai5
眷,gyun3
眺,tiu3
眼冒金星,ngaan5 mou6 gam1 sing1
眼冤,ngaan5 jyun1
眼岔,ngaan5 caa3
眷念,gyun3 nim6
眷愛,gyun3 oi3
眷戀,gyun3 lyun2
眺望,tiu3 mong6
眼熱,ngaan5 jit6
眼看,ngaan5 hon3
眼簾,ngaan5 lim4
眾籌,zung3 cau4
眼紅,ngaan5 hung4
眼饞,ngaan5 caam4
䀱,fung1
䀴,jing5
睄,saau3
睄,saau4
睆,wun2
睇,dai6
睏,kwan3
睏,fan3
睇中,tai2 zung3
睇低,tai2 dai1
睇住,tai2 zyu6
睇出,tai2 ceot1
睇到,tai2 dou2
睇唔出,tai2 m4 ceot1
睇唔起,tai2 m4 hei2
睇唔過眼,tai2 m4 gwo3 ngaan5
睇啱,tai2 ngaam1
睇嚟,tai2 lai4
睇嚟,tai2 lei4
睇好,tai2 hou2
睇小,tai2 siu2
睇屋,tai2 uk1
睇得出,tai2 dak1 ceot1
睇得起,tai2 dak1 hei2
睇怕,tai2 paa3
睇戲,tai2 hei3
睇數,tai2 sou3
睇更,tai2 gaang1
睇書,tai2 syu1
睇樓,tai2 lau2
睇死,tai2 sei2
睇水,tai2 seoi2
睇波,tai2 bo1
睇漏眼,tai2 lau6 ngaan5
睇火,tai2 fo2
睇牙,tai2 ngaa4
睇牛,tai2 ngau4
睇病,tai2 beng6
睇症,tai2 zing3
睇相,tai2 soeng3
睇真啲,tai2 zan1 di1
睇穿,tai2 cyun1
睇脈,tai2 mak6
睇落,tai2 lok6
睇衰,tai2 seoi1
睇見,tai2 gin3
睏覺,fan3 gaau3
睏覺,kwan3 gaau3
睇路,tai2 lou6
睇車,tai2 ce1
睇醫生,tai2 ji1 sang1
睇齊,tai2 cai4
睒,sim2
睗,sik1
睘,king4
睞,loi6
睢,zeoi1
睢,seoi1
睢,fai1
睢,zoi1
督,duk1
睨,ngai6
睬,coi2
督促,duk1 cuk1
督導,duk1 dou6
督師,duk1 si1
督戰,duk1 zin3
睜眼,zang1 ngaan5
睖瞪,ling6 dang6
睖瞪,lang4 dang1
督責,duk1 zaak3
督辦,duk1 baan6
睦鄰,muk6 leon4
䁒,cap1
䁒,zap6
睡,seoi6
睸,mei1
睹,dou2
睺,hau1
瞄,miu4
瞅,cau2
睡不著,seoi6 bat1 zoek6
睡午覺,seoi6 ng5 gaau3
睡回籠覺,seoi6 wui4 lung4 gaau3
睡得著,seoi6 dak1 zoek6
睡懶覺,seoi6 laan5 gaau3
瞄準,miu4 zeon2
睡著,seoi6 zoek6
瞅見,cau2 gin3
睡覺,seoi6 gaau3
睽違,kwai4 wai4
睽違,kwai1 wai4
睡過頭,seoi6 gwo3 tau4
睡醒,seoi6 seng2
睡飽,seoi6 baau2
瞇,mei1
瞇,mi1
瞇,mai4
瞎,hat6
瞓,fan3
瞓低,fan3 dai1
瞇埋眼,mei1 maai4 ngaan5
瞇埋眼,mi1 maai4 ngaan5
瞇埋隻眼,mei1 maai4 zek3 ngaan5
瞇埋隻眼,mi1 maai4 zek3 ngaan5
瞎忙,hat6 mong4
瞓懶覺,fan3 laan5 gaau3
瞎扯,hat6 ce2
瞎拼,hat6 ping3
瞓捩頸,fan3 lai2 geng2
瞓晏覺,fan3 aan3 gaau3
瞓歪頸,fan3 me2 geng2
瞎猜,hat6 caai1
瞋目,can1 muk6
瞑目,ming4 muk6
瞑目,ming5 muk6
瞌眼瞓,hap1 ngaan5 fan3
瞌睡,hap1 seoi6
瞌睡,hap6 seoi6
瞎編,hat6 pin1
瞓著,fan3 zoek6
瞓著覺,fan3 zoek6 gaau3
瞓街,fan3 gaai1
瞓覺,fan3 gaau3
瞓覺覺,fan3 gaau4 gaau1
瞓覺覺豬,fan3 gaau4 gaau1 zyu1
瞎說,hat6 syut3
瞓身,fan3 san1
瞓過龍,fan3 gwo3 lung4
瞓醒,fan3 seng2
瞓醒覺,fan3 seng2 gaau3
瞔,zaak3
瞗,diu1
瞠,caang1
瞠,zaang1
瞠,tong4
瞣,waan6
𥉻,cai3
𥊙,zong1
瞞哄,mun4 hung6
瞠目,caang1 muk6
瞞騙,mun4 pin3
瞥,pit3
瞧,ciu4
瞪,dang1
瞪,dang6
瞪,cing4
瞪,caang4
瞯,gaan3
𥋇,caang3
瞧不起,ciu4 bat1 hei2
瞧得起,ciu4 dak1 hei2
瞭悟,liu5 ng6
瞭望,liu4 mong6
瞪眼,dang1 ngaan5
瞪眼,cing4 ngaan5
瞥見,pit3 gin3
瞻,zim1
瞻仰,zim1 joeng5
瞻望,zim1 mong6
瞻顧,zim1 gu3
矇騙,mung4 pin3
䁽,lip6
矐,hok3
矐,fok3
矐,hok6
矕,maan5
矗立,cuk1 lap6
矗立,cuk1 laap6
矚,zuk1
矚目,zuk1 muk6
矞,wat6
矢口,ci2 hau2
矢志,ci2 zi3
矢言,ci2 jin4
知人,zi1 jan4
知到,zi1 dou3
知底,zi1 dai2
知悉,zi1 sik1
知情,zi1 cing4
知曉,zi1 hiu2
知會,zi1 wui6
知趣,zi1 ceoi3
知足,zi1 zuk1
知道,zi1 dou3
知道,zi1 dou6
知醒,zi1 seng2
知醜,zi1 cau2
知錯,zi1 co3
短,dyun2
短命,dyun2 meng6
短少,dyun2 siu2
短缺,dyun2 kyut3
短路,dyun2 lou6
矮化,ai2 faa3
矮半截,ai2 bun3 zit6
矯,giu2
矯,kiu2
矯形,giu2 jing4
矯情,giu2 cing4
矯正,giu2 zing3
矯治,giu2 zi6
矯飾,giu2 sik1
矺,zaak3
砅,lai6
砍,ham2
砍伐,ham2 fat6
研修,jin4 sau1
砍價,ham2 gaa3
研判,jin4 pun3
砌女,cai3 neoi2
砍斷,ham2 tyun5
砍柴,ham2 caai4
砍樹,ham2 syu6
泵水,bam1 seoi2
砌生豬肉,cai3 saang1 zyu1 juk6
研發,jin4 faat3
砌磚,cai1 zyun1
研磨,ngaan4 mo4
研習,jin4 zaap6
研製,jin4 zai3
研討,jin4 tou2
砍頭,ham2 tau4
破,po3
砸,zaap3
破例,po3 lai6
破冰,po3 bing1
破功,po3 gung1
破口大罵,po3 hau2 daai6 maa6
破四舊,po3 sei3 gau6
破土,po3 tou2
破地獄,po3 dei6 juk6
破壞,po3 waai6
破戒,po3 gaai3
破損,po3 syun2
破敗,po3 baai6
砸數,zaak6 sou3
破曉,po3 hiu2
破格,po3 gaak3
破案,po3 on3
砸死,zaap3 sei2
砸毀,zaap3 wai2
破水,po3 seoi2
破浪,po3 long6
破滅,po3 mit6
砸爛,zaap3 laan6
破獲,po3 wok6
破產,po3 caan2
破相,po3 soeng3
破碎,po3 seoi3
破落,po3 lok6
破裂,po3 lit6
破解,po3 gaai2
破譯,po3 jik6
破財,po3 coi4
破費,po3 fai3
破門,po3 mun4
破門而入,po3 mun4 ji4 jap6
破除,po3 ceoi4
硟,cin3
硩,zit3
硬,ngaang6
硬,ngaang2
硫化,lau4 faa3
硬塞,ngaang6 sak1
硬碰硬,ngaang6 pung3 ngaang6
硬要,ngaang6 jiu3
硬逼,ngaang6 bik1
碰,pung3
𬒔,gang2
碰上,pung3 soeng5
碰到,pung3 dou3
碰到,pung3 dou2
碘化,din2 faa3
碌卡,luk1 kaat1
碌地,luk1 dei2
碰壁,pung3 bik1
碰撞,pung3 zong6
碰杯,pung3 bui1
碰瓷,pung3 ci4
䂿腳,dam6 goek3
碎裂,seoi3 lit6
碰見,pung3 gin3
碰觸,pung3 zuk1
碰運氣,pung3 wan6 hei3
碰面,pung3 min6
碰頭,pung3 tau4
碌齡,luk1 ling1
碌齡,luk1 ling2
碳化,taan3 faa3
磁化,ci4 faa3
磊,leoi5
磋,co1
磒,wan5
磓,deoi1
磓,zeoi6
磕,hap6
磕,ham2
磕,koi3
確保,kok3 bou2
磋商,co1 soeng1
碾壓,zin2 aat3
確定,kok3 ding6
磅水,bong6 seoi2
碾碎,zin2 seoi3
磕碰,hap6 pung3
確立,kok3 laap6
碾米,zin2 mai5
確診,kok3 can2
確認,kok3 jing6
磅重,bong6 cung5
磕頭,hap6 tau4
磨光,mo4 gwong1
磨刀,mo4 dou1
磨合,mo4 hap6
磨嘰,mo4 gei1
磨嘴,mo4 zeoi2
磨損,mo4 syun2
磨洋工,mo4 joeng4 gung1
磨滅,mo4 mit6
磨爛蓆,mo4 laan6 zek6
磨碎,mo4 seoi3
磨磨蹭蹭,mo4 mo4 sang3 sang3
磨磨蹭蹭,mo4 mo4 cang3 cang3
磨礪,mo4 lai6
磨薑,mo4 goeng1
磨袋,mo4 doi2
磨豆腐,mo4 dau6 fu6
磨蹭,mo4 sang3
磨蹭,mo4 cang3
礙事,ngoi6 si6
礙難,ngoi6 naan4
礙面子,ngoi6 min6 zi2
礱,lung4
礴,bok3
示好,si6 hou2
示弱,si6 joek6
示意,si6 ji3
示愛,si6 oi3
示眾,si6 zung3
示範,si6 faan6
祁,kei4
社交,se5 gaau1
祀神,zi6 san4
祈,kei4
祈使,kei4 si2
祈使,kei4 sai2
祈望,kei4 mong6
祈求,kei4 kau4
祈福,kei4 fuk1
祈禱,kei4 tou2
祈雨,kei4 jyu5
祐,jau6
祡,caai4
神似,san4 ci5
祖傳,zou2 cyun4
祝壽,zuk1 sau6
神往,san4 wong5
祝捷,zuk1 zit6
祛痰,keoi1 taam4
祛瘀,keoi1 jyu1
祝禱,zuk1 tou2
神秘化,san4 bei3 faa3
祝聖,zuk1 sing3
祝謝,zuk1 ze6
祝賀,zuk1 ho6
神遊,san4 jau4
祛除,keoi1 ceoi4
神隱,san4 jan2
祝頌,zuk1 zung6
祝願,zuk1 jyun6
票匯,piu3 wui6
祭吊,zai3 diu3
祭孔,zai3 hung2
祭拜,zai3 baai3
票控,piu3 hung3
祭旗,zai3 kei4
祭灶,zai3 zou3
祭祀,zai3 zi6
祭祖,zai3 zou2
票選,piu3 syun2
視乎,si6 fu4
視事,si6 si6
視奏,si6 zau3
視察,si6 caat3
視導,si6 dou6
視為,si6 wai4
視譜,si6 pou2
禁不住,gam1 bat1 zyu6
禁不住,kam1 bat1 zyu6
禁不起,kam1 bat1 hei2
禁制,gam3 zai3
禁娼,gam3 coeng1
禁止,gam3 zi2
禁毒,gam3 duk6
禁煙,gam3 jin1
禁用,gam3 jung6
禁絕,gam3 zyut6
禁賭,gam3 dou2
禁賽,gam3 coi3
禁運,gam3 wan6
禁酒,gam3 zau2
禁錮,gam3 gu3
禁閉,gam3 bai3
禁食,gam3 sik6
禓,joeng4
禍起蕭牆,wo6 hei2 siu1 coeng4
禦,jyu6
禦侮,jyu6 mou5
禦敵,jyu6 dik6
禪位,sin6 wai6
禪悟,sim4 ng6
禪讓,sin6 joeng6
禮佛,lai5 fat6
禮成,lai5 sing4
禮讓,lai5 joeng6
禮讚,lai5 zaan3
禮賓,lai5 ban1
禱,tou2
禱,dou2
禱告,tou2 gou3
禱祈,tou2 kei4
禱祝,tou2 zuk1
萬安,maan6 on1
萬萬歲,maan6 maan6 seoi3
私了,si1 liu5
禿嚕,tuk1 lou1
私奔,si1 ban1
私有,si1 jau5
私生,si1 sang1
私立,si1 laap6
私立,si1 lap6
私訪,si1 fong2
私設,si1 cit3
私通,si1 tung1
私運,si1 wan6
私闖,si1 cong2
秉承,bing2 sing4
秉持,bing2 ci4
秉政,bing2 zing3
秎,fan6
秒回,miu5 wui4
科學上網,fo1 hok6 soeng5 mong5
秋播,cau1 bo3
秒殺,miu5 saat3
租住,zou1 zyu6
租借,zou1 ze3
秘撈,bei3 lou1
租用,zou1 jung6
秧苗,joeng1 miu4
租賃,zou1 jam6
租車,zou1 ce1
秷,zat6
移,ji4
移交,ji4 gaau1
移位,ji4 wai2
移住,ji4 zyu6
移動,ji4 dung6
移居,ji4 geoi1
移徙,ji4 saai2
移易,ji4 jik6
移植,ji4 zik6
移用,ji4 jung6
移送,ji4 sung3
移送法辦,ji4 sung3 faat3 baan6
移開,ji4 hoi1
移防,ji4 fong4
移除,ji4 ceoi4
移項,ji4 hong6
稍候,saau2 hau6
程序設計,cing4 zeoi6 cit3 gai3
稍後,saau2 hau6
稍息,saau2 sik1
稍等,saau2 dang2
稀釋,hei1 sik1
稛,kwan2
稟告,ban2 gou3
稟報,ban2 bou3
稟神,ban2 san4
稱作,cing1 zok3
種地,zung3 dei6
稱孤,cing1 gu1
稱帝,cing1 dai3
稱心,cing3 sam1
稱心,can3 sam1
稱快,cing1 faai3
稱揚,cing1 joeng4
種植,zung3 zik6
種樹,zung3 syu6
稱為,cing1 wai4
種牙,zung3 ngaa4
種牛痘,zung3 ngau4 dau6
稱王,cing1 wong4
種田,zung3 tin4
稱病,cing1 beng6
稱病,cing1 bing6
種痘,zung3 dau2
稱羨,cing1 sin6
稱臣,cing1 san4
種花,zung3 faa1
種菌,zung3 kwan2
稱許,cing1 heoi2
稱說,cing1 syut3
稱謝,cing1 ze6
稱譽,cing1 jyu6
稱讚,cing1 zaan3
稱重,cing3 cung5
稱雄,cing1 hung4
稱霸,cing1 baa3
稱頌,cing1 zung6
稽,kai1
稽古,kai1 gu2
稽核,kai1 hat6
稽考,kai1 haau2
穌,sou1
積善,zik1 sin6
積壓,zik1 aat3
積德,zik1 dak1
積惡,zik1 ok3
積攢,zik1 zaan2
積聚,zik1 zeoi6
積食,zik1 sik6
穓,jik6
穫,wok6
穩固,wan2 gu3
穩定,wan2 ding6
穬,gwong2
穮,biu1
穴居,jyut6 geoi1
究,gau3
空心,hung1 sam1
空拍,hung1 paak3
空窗,hung1 coeng1
空置,hung1 zi3
空腹,hung1 fuk1
空轉,hung1 zyun3
空運,hung1 wan6
空降,hung1 gong3
穿,cyun1
突,dat6
突出,dat6 ceot1
穿刺,cyun1 ci3
突厥化,dat6 kyut3 faa3
穿反,cyun1 faan2
突圍,dat6 wai4
穿孔,cyun1 hung2
穿崩,cyun1 bang1
穿幫,cyun1 bong1
突擊,dat6 gik1
穿梭,cyun1 so1
穿櫃桶底,cyun1 gwai6 tung2 dai2
穿煲,cyun1 bou1
突發,dat6 faat3
突突,dat6 dat6
穿窿,cyun1 lung1
穿耳,cyun1 ji5
突襲,dat6 zaap6
突變,dat6 bin3
穿越,cyun1 jyut6
穿過,cyun1 gwo3
穿鑿,cyun1 zok6
突顯,dat6 hin2
窒,zat6
窒息,zat6 sik1
窖肥,gaau3 fei4
窩藏,wo1 cong4
窩裡反,wo1 leoi5 faan2
窩裡橫,wo1 leoi5 waang6
窩裡鬥,wo1 leoi5 dau3
窮,kung4
窮遊,kung4 jau4
窺伺,kwai1 zi6
窺探,kwai1 taam3
窺測,kwai1 cak1
窺視,kwai1 si6
竀,cing1
竄,cyun3
竄,cyun2
竄擾,cyun3 jiu5
竄改,cyun3 goi2
竄港,cyun3 gong2
竄犯,cyun3 faan6
竄逃,cyun3 tou4
竊取,sit3 ceoi2
竊喜,sit3 hei2
竊國,sit3 gwok3
竊據,sit3 geoi3
竊聽,sit3 teng1
竊聽,sit3 ting1
竊聽,sit3 ting3
立,lap6
立,laap6
立功,laap6 gung1
立國,laap6 gwok3
立契,lap6 kai3
立契,laap6 kai3
立案,laap6 on3
立業,lap6 jip6
立業,laap6 jip6
立正,laap6 zeng3
立約,laap6 joek3
立誓,lap6 sai6
立誓,laap6 sai6
立足,laap6 zuk1
立項,laap6 hong6
立項,lap6 hong6
立食,laap6 sik6
站住,zaam6 zyu6
站崗,zaam6 gong1
站得住腳,zaam6 dak1 zyu6 goek3
站票,zaam6 piu3
站穩,zaam6 wan2
站立,zaam6 laap6
站街,zaam6 gaai1
站起來,zaam6 hei2 loi4
站軍姿,zaam6 gwan1 zi1
竣,zeon3
竣工,zeon3 gung1
童話化,tung4 waa2 faa3
童話化,tung4 waa6 faa3
竭,kit3
竭力,kit3 lik6
端坐,dyun1 zo6
端正,dyun1 zing3
竭盡,kit3 zeon6
䇓,seoi1
競,ging6
競,ging3
競拍,ging6 paak3
競標,ging6 biu1
競標,ging3 biu1
競渡,ging6 dou6
競渡,ging3 dou6
競爭,ging6 zang1
競爭,ging3 zang1
競賣,ging6 maai6
競購,ging6 gau3
競逐,ging3 zuk6
競速,ging6 cuk1
競速,ging3 cuk1
競選,ging6 syun2
競選,ging3 syun2
笑,siu3
笑咪咪,siu3 mi1 mi1
笑咪咪,siu3 mei1 mei1
笑哭,siu3 huk1
笑噴,siu3 pan3
笑大人個口,siu3 daai6 jan4 go3 hau2
笑死,siu3 sei2
笑淫淫,siu3 jam4 jam4
笑甩棚牙,siu3 lat1 paang4 ngaa4
笑納,siu3 naap6
符合,fu4 hap6
笞擊,ci1 gik1
笠水,lap1 seoi2
答,daap3
等一下,dang2 jat1 haa5
等一陣,dang2 jat1 zan6
等不及,dang2 bat1 kap6
等候,dang2 hau6
等值,dang2 zik6
答允,daap3 wan5
等分,dang2 fan1
等到,dang2 dou3
策動,caak3 dung6
策勵,caak3 lai6
策反,caak3 faan2
等同,dang2 tung4
答問,daap3 man6
等天收,dang2 tin1 sau1
等如,dang2 jyu4
答對,daap3 deoi3
等待,dang2 doi6
答應,daap3 jing3
策應,caak3 jing3
筆戰,bat1 zin3
等於,dang2 jyu1
等死,dang2 sei2
答疑,daap3 ji4
答白,daap3 baak6
筆耕,bat1 gaang1
答話,daap3 waa6
答謝,daap3 ze6
筆譯,bat1 jik6
答辯,daap3 bin6
等量,dang2 loeng6
等陣,dang2 zan6
答題,daap3 tai4
策騎,caak3 ke4
節哀,zit3 oi1
節水,zit3 seoi2
節省,zit3 saang2
節約,zit3 joek3
節育,zit3 juk6
節能,zit3 nang4
節衣縮食,zit3 ji1 suk1 sik6
節電,zit3 din6
算,syun3
箣,caak3
管保,gun2 bou2
管制,gun2 zai3
算卦,syun3 gwaa3
算命,syun3 meng6
算命,syun3 ming6
管床,gun2 cong4
管待,gun2 doi6
算得上,syun3 dak1 soeng5
管控,gun2 hung3
算數,syun3 sou3
算是,syun3 si6
管束,gun2 cuk1
管治,gun2 zi6
箍煲,ku1 bou1
箍牙,ku1 ngaa4
管理,gun2 lei5
管用,gun2 jung6
算舊賬,syun3 gau6 zoeng3
算計,syun3 gai3
算賬,syun3 zoeng3
管轄,gun2 hat6
算錯,syun3 co3
管閒事,gun2 haan4 si6
箿,zaap6
篡,saan3
篡位,saan3 wai6
篤信,duk1 seon3
篤口篤鼻,duk1 hau2 duk1 bei6
築堤,zuk1 tai4
篡奪,saan3 dyut6
篤學,duk1 hok6
築巢,zuk1 caau4
篤志,duk1 zi3
篤手指,duk1 sau2 zi2
篡改,saan3 goi2
篤數,duk1 sou3
篩查,sai1 caa4
篩檢,sai1 gim2
篤油,duk1 jau2
篤波,duk1 bo1
篤灰,duk1 fui1
篤爆,duk1 baau3
篤穿,duk1 cyun1
篤背脊,duk1 bui3 zek3
築臺,zuk1 toi4
篤行,duk1 hang6
築路,zuk1 lou6
篩選,sai1 syun2
篤魚蛋,duk1 jyu4 daan2
簌,cuk1
簌,suk1
簇擁,cuk1 jung2
簡化,gaan2 faa3
簡慢,gaan2 maan6
簡拔,gaan2 bat6
簡縮,gaan2 suk1
簽入,cim1 jap6
簽到,cim1 dou3
簽卡,cim1 kaat1
簽名,cim1 meng2
簽字,cim1 zi6
簽收,cim1 sau1
簽發,cim1 faat3
簽約,cim1 joek3
簽紙,cim1 zi2
簽署,cim1 cyu5
簽訂,cim1 ding3
籌備,cau4 bei6
籌劃,cau4 waak6
籌建,cau4 gin3
籌措,cau4 cou3
籌旗,cau4 kei4
籌算,cau4 syun3
籌資,cau4 zi1
籌辦,cau4 baan6
籌錢,cau4 cin2
籌集,cau4 zaap6
籠絡,lung5 lok3
籠絡,lung5 lok6
籠絡,lung4 lok3
籠罩,lung5 zaau3
籲,jyu6
籲,joek6
籲請,jyu6 cing2
粉刷,fan2 caat2
粉碎,fan2 seoi3
粉身,fan2 san1
粉轉黑,fan2 zyun2 haak1
粉飾,fan2 sik1
粘,nim1
粘,nim4
粘,zim1
粗估,cou1 gu2
粗生,cou1 saang1
粘著,nim4 zoek6
粘貼,nim4 tip3
